"line","trait_value","trait","reference"
21,1.947422878,"ethanol.sensitivity.tolerance.F","Morozova el al. (2015) BMC Genomics"
26,0.827808691,"ethanol.sensitivity.tolerance.F","Morozova el al. (2015) BMC Genomics"
28,0.85693228,"ethanol.sensitivity.tolerance.F","Morozova el al. (2015) BMC Genomics"
31,1.175484593,"ethanol.sensitivity.tolerance.F","Morozova el al. (2015) BMC Genomics"
32,0.429157431,"ethanol.sensitivity.tolerance.F","Morozova el al. (2015) BMC Genomics"
38,1.00223814,"ethanol.sensitivity.tolerance.F","Morozova el al. (2015) BMC Genomics"
40,1.079709343,"ethanol.sensitivity.tolerance.F","Morozova el al. (2015) BMC Genomics"
41,-0.398385348,"ethanol.sensitivity.tolerance.F","Morozova el al. (2015) BMC Genomics"
42,1.199700764,"ethanol.sensitivity.tolerance.F","Morozova el al. (2015) BMC Genomics"
45,1.418835659,"ethanol.sensitivity.tolerance.F","Morozova el al. (2015) BMC Genomics"
48,0.855031601,"ethanol.sensitivity.tolerance.F","Morozova el al. (2015) BMC Genomics"
49,1.823141635,"ethanol.sensitivity.tolerance.F","Morozova el al. (2015) BMC Genomics"
57,1.562677515,"ethanol.sensitivity.tolerance.F","Morozova el al. (2015) BMC Genomics"
59,1.654957677,"ethanol.sensitivity.tolerance.F","Morozova el al. (2015) BMC Genomics"
69,0.823832484,"ethanol.sensitivity.tolerance.F","Morozova el al. (2015) BMC Genomics"
73,1.421300849,"ethanol.sensitivity.tolerance.F","Morozova el al. (2015) BMC Genomics"
75,1.164846608,"ethanol.sensitivity.tolerance.F","Morozova el al. (2015) BMC Genomics"
83,1.190770907,"ethanol.sensitivity.tolerance.F","Morozova el al. (2015) BMC Genomics"
85,1.05124881,"ethanol.sensitivity.tolerance.F","Morozova el al. (2015) BMC Genomics"
88,0.054965179,"ethanol.sensitivity.tolerance.F","Morozova el al. (2015) BMC Genomics"
91,0.681694128,"ethanol.sensitivity.tolerance.F","Morozova el al. (2015) BMC Genomics"
93,1.020973451,"ethanol.sensitivity.tolerance.F","Morozova el al. (2015) BMC Genomics"
100,0.345589759,"ethanol.sensitivity.tolerance.F","Morozova el al. (2015) BMC Genomics"
101,0.926474535,"ethanol.sensitivity.tolerance.F","Morozova el al. (2015) BMC Genomics"
105,0.471413968,"ethanol.sensitivity.tolerance.F","Morozova el al. (2015) BMC Genomics"
109,-0.04049826,"ethanol.sensitivity.tolerance.F","Morozova el al. (2015) BMC Genomics"
129,0.657301725,"ethanol.sensitivity.tolerance.F","Morozova el al. (2015) BMC Genomics"
136,1.133226637,"ethanol.sensitivity.tolerance.F","Morozova el al. (2015) BMC Genomics"
138,0.657816902,"ethanol.sensitivity.tolerance.F","Morozova el al. (2015) BMC Genomics"
142,1.000535268,"ethanol.sensitivity.tolerance.F","Morozova el al. (2015) BMC Genomics"
149,0.73271673,"ethanol.sensitivity.tolerance.F","Morozova el al. (2015) BMC Genomics"
153,1.166033062,"ethanol.sensitivity.tolerance.F","Morozova el al. (2015) BMC Genomics"
158,0.845636111,"ethanol.sensitivity.tolerance.F","Morozova el al. (2015) BMC Genomics"
161,0.197472069,"ethanol.sensitivity.tolerance.F","Morozova el al. (2015) BMC Genomics"
176,0.410220882,"ethanol.sensitivity.tolerance.F","Morozova el al. (2015) BMC Genomics"
177,0.534095391,"ethanol.sensitivity.tolerance.F","Morozova el al. (2015) BMC Genomics"
181,1.022440884,"ethanol.sensitivity.tolerance.F","Morozova el al. (2015) BMC Genomics"
189,1.546156165,"ethanol.sensitivity.tolerance.F","Morozova el al. (2015) BMC Genomics"
195,-0.076038713,"ethanol.sensitivity.tolerance.F","Morozova el al. (2015) BMC Genomics"
208,1.336158577,"ethanol.sensitivity.tolerance.F","Morozova el al. (2015) BMC Genomics"
217,2.54097293,"ethanol.sensitivity.tolerance.F","Morozova el al. (2015) BMC Genomics"
223,1.000961786,"ethanol.sensitivity.tolerance.F","Morozova el al. (2015) BMC Genomics"
227,0.439753033,"ethanol.sensitivity.tolerance.F","Morozova el al. (2015) BMC Genomics"
228,1.359352153,"ethanol.sensitivity.tolerance.F","Morozova el al. (2015) BMC Genomics"
229,1.220893881,"ethanol.sensitivity.tolerance.F","Morozova el al. (2015) BMC Genomics"
233,0.770811575,"ethanol.sensitivity.tolerance.F","Morozova el al. (2015) BMC Genomics"
235,1.529241563,"ethanol.sensitivity.tolerance.F","Morozova el al. (2015) BMC Genomics"
237,1.226694266,"ethanol.sensitivity.tolerance.F","Morozova el al. (2015) BMC Genomics"
239,1.119588076,"ethanol.sensitivity.tolerance.F","Morozova el al. (2015) BMC Genomics"
256,1.283763814,"ethanol.sensitivity.tolerance.F","Morozova el al. (2015) BMC Genomics"
280,1.448066048,"ethanol.sensitivity.tolerance.F","Morozova el al. (2015) BMC Genomics"
287,0.74218951,"ethanol.sensitivity.tolerance.F","Morozova el al. (2015) BMC Genomics"
301,-0.013231199,"ethanol.sensitivity.tolerance.F","Morozova el al. (2015) BMC Genomics"
303,0.587406897,"ethanol.sensitivity.tolerance.F","Morozova el al. (2015) BMC Genomics"
304,1.260271955,"ethanol.sensitivity.tolerance.F","Morozova el al. (2015) BMC Genomics"
306,1.215385524,"ethanol.sensitivity.tolerance.F","Morozova el al. (2015) BMC Genomics"
307,2.059052567,"ethanol.sensitivity.tolerance.F","Morozova el al. (2015) BMC Genomics"
309,0.893117787,"ethanol.sensitivity.tolerance.F","Morozova el al. (2015) BMC Genomics"
310,0.65973504,"ethanol.sensitivity.tolerance.F","Morozova el al. (2015) BMC Genomics"
313,1.31966852,"ethanol.sensitivity.tolerance.F","Morozova el al. (2015) BMC Genomics"
315,1.282192092,"ethanol.sensitivity.tolerance.F","Morozova el al. (2015) BMC Genomics"
317,0.908941219,"ethanol.sensitivity.tolerance.F","Morozova el al. (2015) BMC Genomics"
318,2.096624026,"ethanol.sensitivity.tolerance.F","Morozova el al. (2015) BMC Genomics"
319,1.368896858,"ethanol.sensitivity.tolerance.F","Morozova el al. (2015) BMC Genomics"
320,0.368186628,"ethanol.sensitivity.tolerance.F","Morozova el al. (2015) BMC Genomics"
321,0.703472001,"ethanol.sensitivity.tolerance.F","Morozova el al. (2015) BMC Genomics"
324,1.404349267,"ethanol.sensitivity.tolerance.F","Morozova el al. (2015) BMC Genomics"
325,0.067029482,"ethanol.sensitivity.tolerance.F","Morozova el al. (2015) BMC Genomics"
332,0.70698228,"ethanol.sensitivity.tolerance.F","Morozova el al. (2015) BMC Genomics"
335,0.290894776,"ethanol.sensitivity.tolerance.F","Morozova el al. (2015) BMC Genomics"
336,1.289633282,"ethanol.sensitivity.tolerance.F","Morozova el al. (2015) BMC Genomics"
338,0.85323649,"ethanol.sensitivity.tolerance.F","Morozova el al. (2015) BMC Genomics"
340,0.941608252,"ethanol.sensitivity.tolerance.F","Morozova el al. (2015) BMC Genomics"
348,-0.55827368,"ethanol.sensitivity.tolerance.F","Morozova el al. (2015) BMC Genomics"
350,0.503345379,"ethanol.sensitivity.tolerance.F","Morozova el al. (2015) BMC Genomics"
352,0.074350512,"ethanol.sensitivity.tolerance.F","Morozova el al. (2015) BMC Genomics"
354,1.16457987,"ethanol.sensitivity.tolerance.F","Morozova el al. (2015) BMC Genomics"
355,1.125643048,"ethanol.sensitivity.tolerance.F","Morozova el al. (2015) BMC Genomics"
356,0.65827647,"ethanol.sensitivity.tolerance.F","Morozova el al. (2015) BMC Genomics"
357,0.835798777,"ethanol.sensitivity.tolerance.F","Morozova el al. (2015) BMC Genomics"
358,-0.754622183,"ethanol.sensitivity.tolerance.F","Morozova el al. (2015) BMC Genomics"
359,1.638018807,"ethanol.sensitivity.tolerance.F","Morozova el al. (2015) BMC Genomics"
360,1.600701816,"ethanol.sensitivity.tolerance.F","Morozova el al. (2015) BMC Genomics"
361,1.085042084,"ethanol.sensitivity.tolerance.F","Morozova el al. (2015) BMC Genomics"
362,1.025828063,"ethanol.sensitivity.tolerance.F","Morozova el al. (2015) BMC Genomics"
365,1.63749764,"ethanol.sensitivity.tolerance.F","Morozova el al. (2015) BMC Genomics"
367,0.489240112,"ethanol.sensitivity.tolerance.F","Morozova el al. (2015) BMC Genomics"
370,0.957800257,"ethanol.sensitivity.tolerance.F","Morozova el al. (2015) BMC Genomics"
371,0.249510704,"ethanol.sensitivity.tolerance.F","Morozova el al. (2015) BMC Genomics"
373,0.402761224,"ethanol.sensitivity.tolerance.F","Morozova el al. (2015) BMC Genomics"
374,1.498519335,"ethanol.sensitivity.tolerance.F","Morozova el al. (2015) BMC Genomics"
375,1.153607,"ethanol.sensitivity.tolerance.F","Morozova el al. (2015) BMC Genomics"
377,2.229944348,"ethanol.sensitivity.tolerance.F","Morozova el al. (2015) BMC Genomics"
379,-0.009449097,"ethanol.sensitivity.tolerance.F","Morozova el al. (2015) BMC Genomics"
380,0.94282712,"ethanol.sensitivity.tolerance.F","Morozova el al. (2015) BMC Genomics"
381,0.148387227,"ethanol.sensitivity.tolerance.F","Morozova el al. (2015) BMC Genomics"
382,1.935990699,"ethanol.sensitivity.tolerance.F","Morozova el al. (2015) BMC Genomics"
383,0.124824768,"ethanol.sensitivity.tolerance.F","Morozova el al. (2015) BMC Genomics"
385,0.793260632,"ethanol.sensitivity.tolerance.F","Morozova el al. (2015) BMC Genomics"
386,-0.465864179,"ethanol.sensitivity.tolerance.F","Morozova el al. (2015) BMC Genomics"
390,-0.152450071,"ethanol.sensitivity.tolerance.F","Morozova el al. (2015) BMC Genomics"
391,0.363925238,"ethanol.sensitivity.tolerance.F","Morozova el al. (2015) BMC Genomics"
392,1.143960686,"ethanol.sensitivity.tolerance.F","Morozova el al. (2015) BMC Genomics"
395,0.51269604,"ethanol.sensitivity.tolerance.F","Morozova el al. (2015) BMC Genomics"
397,0.597587046,"ethanol.sensitivity.tolerance.F","Morozova el al. (2015) BMC Genomics"
399,0.524927024,"ethanol.sensitivity.tolerance.F","Morozova el al. (2015) BMC Genomics"
405,1.07839137,"ethanol.sensitivity.tolerance.F","Morozova el al. (2015) BMC Genomics"
406,0.445677425,"ethanol.sensitivity.tolerance.F","Morozova el al. (2015) BMC Genomics"
409,-0.005067568,"ethanol.sensitivity.tolerance.F","Morozova el al. (2015) BMC Genomics"
426,0.728781495,"ethanol.sensitivity.tolerance.F","Morozova el al. (2015) BMC Genomics"
427,0.894171958,"ethanol.sensitivity.tolerance.F","Morozova el al. (2015) BMC Genomics"
437,1.17390355,"ethanol.sensitivity.tolerance.F","Morozova el al. (2015) BMC Genomics"
439,1.955533313,"ethanol.sensitivity.tolerance.F","Morozova el al. (2015) BMC Genomics"
440,1.440852427,"ethanol.sensitivity.tolerance.F","Morozova el al. (2015) BMC Genomics"
441,1.236374109,"ethanol.sensitivity.tolerance.F","Morozova el al. (2015) BMC Genomics"
443,1.74503962,"ethanol.sensitivity.tolerance.F","Morozova el al. (2015) BMC Genomics"
461,0.750721375,"ethanol.sensitivity.tolerance.F","Morozova el al. (2015) BMC Genomics"
486,0.936754612,"ethanol.sensitivity.tolerance.F","Morozova el al. (2015) BMC Genomics"
491,1.956980317,"ethanol.sensitivity.tolerance.F","Morozova el al. (2015) BMC Genomics"
492,1.539297895,"ethanol.sensitivity.tolerance.F","Morozova el al. (2015) BMC Genomics"
502,1.209041889,"ethanol.sensitivity.tolerance.F","Morozova el al. (2015) BMC Genomics"
505,0.892956172,"ethanol.sensitivity.tolerance.F","Morozova el al. (2015) BMC Genomics"
508,-0.202552414,"ethanol.sensitivity.tolerance.F","Morozova el al. (2015) BMC Genomics"
509,1.278237805,"ethanol.sensitivity.tolerance.F","Morozova el al. (2015) BMC Genomics"
513,0.981242374,"ethanol.sensitivity.tolerance.F","Morozova el al. (2015) BMC Genomics"
517,1.108676067,"ethanol.sensitivity.tolerance.F","Morozova el al. (2015) BMC Genomics"
528,0.853395945,"ethanol.sensitivity.tolerance.F","Morozova el al. (2015) BMC Genomics"
530,1.157132965,"ethanol.sensitivity.tolerance.F","Morozova el al. (2015) BMC Genomics"
531,1.585209251,"ethanol.sensitivity.tolerance.F","Morozova el al. (2015) BMC Genomics"
535,1.887489069,"ethanol.sensitivity.tolerance.F","Morozova el al. (2015) BMC Genomics"
551,0.586466143,"ethanol.sensitivity.tolerance.F","Morozova el al. (2015) BMC Genomics"
555,1.207827771,"ethanol.sensitivity.tolerance.F","Morozova el al. (2015) BMC Genomics"
559,1.209455891,"ethanol.sensitivity.tolerance.F","Morozova el al. (2015) BMC Genomics"
563,2.272037285,"ethanol.sensitivity.tolerance.F","Morozova el al. (2015) BMC Genomics"
566,0.137924165,"ethanol.sensitivity.tolerance.F","Morozova el al. (2015) BMC Genomics"
584,-0.452583188,"ethanol.sensitivity.tolerance.F","Morozova el al. (2015) BMC Genomics"
589,2.416962317,"ethanol.sensitivity.tolerance.F","Morozova el al. (2015) BMC Genomics"
595,1.278151521,"ethanol.sensitivity.tolerance.F","Morozova el al. (2015) BMC Genomics"
596,0.679993982,"ethanol.sensitivity.tolerance.F","Morozova el al. (2015) BMC Genomics"
627,0.598541243,"ethanol.sensitivity.tolerance.F","Morozova el al. (2015) BMC Genomics"
630,1.202296555,"ethanol.sensitivity.tolerance.F","Morozova el al. (2015) BMC Genomics"
634,2.300667216,"ethanol.sensitivity.tolerance.F","Morozova el al. (2015) BMC Genomics"
639,0.471101508,"ethanol.sensitivity.tolerance.F","Morozova el al. (2015) BMC Genomics"
642,0.686207549,"ethanol.sensitivity.tolerance.F","Morozova el al. (2015) BMC Genomics"
646,1.019318732,"ethanol.sensitivity.tolerance.F","Morozova el al. (2015) BMC Genomics"
703,2.248149776,"ethanol.sensitivity.tolerance.F","Morozova el al. (2015) BMC Genomics"
705,1.37398841,"ethanol.sensitivity.tolerance.F","Morozova el al. (2015) BMC Genomics"
707,0.479006471,"ethanol.sensitivity.tolerance.F","Morozova el al. (2015) BMC Genomics"
712,1.339867612,"ethanol.sensitivity.tolerance.F","Morozova el al. (2015) BMC Genomics"
714,0.663434237,"ethanol.sensitivity.tolerance.F","Morozova el al. (2015) BMC Genomics"
716,1.325165063,"ethanol.sensitivity.tolerance.F","Morozova el al. (2015) BMC Genomics"
721,1.011650117,"ethanol.sensitivity.tolerance.F","Morozova el al. (2015) BMC Genomics"
727,0.561111707,"ethanol.sensitivity.tolerance.F","Morozova el al. (2015) BMC Genomics"
730,0.07715059,"ethanol.sensitivity.tolerance.F","Morozova el al. (2015) BMC Genomics"
732,0.93253762,"ethanol.sensitivity.tolerance.F","Morozova el al. (2015) BMC Genomics"
737,1.52734953,"ethanol.sensitivity.tolerance.F","Morozova el al. (2015) BMC Genomics"
738,0.851960535,"ethanol.sensitivity.tolerance.F","Morozova el al. (2015) BMC Genomics"
748,0.700250116,"ethanol.sensitivity.tolerance.F","Morozova el al. (2015) BMC Genomics"
757,1.597329001,"ethanol.sensitivity.tolerance.F","Morozova el al. (2015) BMC Genomics"
761,0.906598243,"ethanol.sensitivity.tolerance.F","Morozova el al. (2015) BMC Genomics"
765,0.862251455,"ethanol.sensitivity.tolerance.F","Morozova el al. (2015) BMC Genomics"
774,1.16622517,"ethanol.sensitivity.tolerance.F","Morozova el al. (2015) BMC Genomics"
776,0.788214085,"ethanol.sensitivity.tolerance.F","Morozova el al. (2015) BMC Genomics"
783,1.490522451,"ethanol.sensitivity.tolerance.F","Morozova el al. (2015) BMC Genomics"
786,1.185234479,"ethanol.sensitivity.tolerance.F","Morozova el al. (2015) BMC Genomics"
787,1.330393988,"ethanol.sensitivity.tolerance.F","Morozova el al. (2015) BMC Genomics"
790,0.819738424,"ethanol.sensitivity.tolerance.F","Morozova el al. (2015) BMC Genomics"
796,1.032690936,"ethanol.sensitivity.tolerance.F","Morozova el al. (2015) BMC Genomics"
799,0.575230582,"ethanol.sensitivity.tolerance.F","Morozova el al. (2015) BMC Genomics"
801,1.137853502,"ethanol.sensitivity.tolerance.F","Morozova el al. (2015) BMC Genomics"
802,0.744753387,"ethanol.sensitivity.tolerance.F","Morozova el al. (2015) BMC Genomics"
804,0.755434783,"ethanol.sensitivity.tolerance.F","Morozova el al. (2015) BMC Genomics"
805,1.661121399,"ethanol.sensitivity.tolerance.F","Morozova el al. (2015) BMC Genomics"
808,0.325018871,"ethanol.sensitivity.tolerance.F","Morozova el al. (2015) BMC Genomics"
810,0.733439318,"ethanol.sensitivity.tolerance.F","Morozova el al. (2015) BMC Genomics"
812,1.325405487,"ethanol.sensitivity.tolerance.F","Morozova el al. (2015) BMC Genomics"
818,0.688800541,"ethanol.sensitivity.tolerance.F","Morozova el al. (2015) BMC Genomics"
819,-0.261297342,"ethanol.sensitivity.tolerance.F","Morozova el al. (2015) BMC Genomics"
820,1.11041357,"ethanol.sensitivity.tolerance.F","Morozova el al. (2015) BMC Genomics"
821,3.093141026,"ethanol.sensitivity.tolerance.F","Morozova el al. (2015) BMC Genomics"
822,0.535845189,"ethanol.sensitivity.tolerance.F","Morozova el al. (2015) BMC Genomics"
832,1.313213623,"ethanol.sensitivity.tolerance.F","Morozova el al. (2015) BMC Genomics"
837,1.831081223,"ethanol.sensitivity.tolerance.F","Morozova el al. (2015) BMC Genomics"
843,1.657762868,"ethanol.sensitivity.tolerance.F","Morozova el al. (2015) BMC Genomics"
849,1.098783744,"ethanol.sensitivity.tolerance.F","Morozova el al. (2015) BMC Genomics"
850,1.113749748,"ethanol.sensitivity.tolerance.F","Morozova el al. (2015) BMC Genomics"
852,1.000900283,"ethanol.sensitivity.tolerance.F","Morozova el al. (2015) BMC Genomics"
853,1.559571763,"ethanol.sensitivity.tolerance.F","Morozova el al. (2015) BMC Genomics"
855,1.330674821,"ethanol.sensitivity.tolerance.F","Morozova el al. (2015) BMC Genomics"
857,1.190820274,"ethanol.sensitivity.tolerance.F","Morozova el al. (2015) BMC Genomics"
859,1.236124517,"ethanol.sensitivity.tolerance.F","Morozova el al. (2015) BMC Genomics"
861,1.225777903,"ethanol.sensitivity.tolerance.F","Morozova el al. (2015) BMC Genomics"
879,1.38269854,"ethanol.sensitivity.tolerance.F","Morozova el al. (2015) BMC Genomics"
882,1.62465859,"ethanol.sensitivity.tolerance.F","Morozova el al. (2015) BMC Genomics"
884,1.162620049,"ethanol.sensitivity.tolerance.F","Morozova el al. (2015) BMC Genomics"
887,1.255510228,"ethanol.sensitivity.tolerance.F","Morozova el al. (2015) BMC Genomics"
890,1.228286464,"ethanol.sensitivity.tolerance.F","Morozova el al. (2015) BMC Genomics"
892,0.814192543,"ethanol.sensitivity.tolerance.F","Morozova el al. (2015) BMC Genomics"
894,1.131359249,"ethanol.sensitivity.tolerance.F","Morozova el al. (2015) BMC Genomics"
897,1.513061199,"ethanol.sensitivity.tolerance.F","Morozova el al. (2015) BMC Genomics"
900,0.841591592,"ethanol.sensitivity.tolerance.F","Morozova el al. (2015) BMC Genomics"
907,1.774673644,"ethanol.sensitivity.tolerance.F","Morozova el al. (2015) BMC Genomics"
