block,replicate,line,num.laying.F.early,female.fitness.early,female.fitness.late,num.F.late1,num.F.late2
B1,R-1,352,5,4,40,3,3
B1,R-2,352,5,78,36,4,4
B1,R-3,352,5,59,9,3,3
B1,R-4,352,5,41,6,4,4
B1,R-5,352,5,19,18,3,3
B1,R-6,352,5,0,28,4,3
C1,R-1,352,5,0,71,5,5
C1,R-2,352,5,0,0,1,1
C1,R-3,352,5,0,41,4,4
C1,R-4,352,5,64,39,5,5
C1,R-5,352,5,20,67,4,3
C1,R-6,352,5,108,40,4,4
A2,R-1,352,5,124,29,3,3
A2,R-2,352,5,55,35,5,5
A2,R-3,352,5,25,6,5,3
A2,R-4,352,5,48,42,4,5
A2,R-5,352,5,27,0,2,1
A2,R-6,352,5,96,34,5,4
B2,R-1,352,4,152,32,3,3
B2,R-2,352,5,44,4,0,0
B2,R-3,352,5,18,15,3,2
B2,R-4,352,5,26,11,4,3
B2,R-5,352,5,107,39,5,5
B2,R-6,352,5,93,8,5,5
C2,R-1,352,4,78,0,2,2
C2,R-2,352,5,125,0,6,4
C2,R-3,352,5,119,0,4,4
C2,R-4,352,5,104,0,4,3
C2,R-5,352,5,155,61,5,4
C2,R-6,352,5,42,2,4,3
A3,R-1,352,5,68,7,2,2
A3,R-2,352,5,67,16,2,2
A3,R-3,352,5,93,21,5,4
A3,R-4,352,5,65,2,4,3
A3,R-5,352,5,37,0,4,3
A3,R-6,352,5,52,7,3,3
B3,R-1,352,5,127,0,5,4
B3,12-Feb,352,5,145,52,4,4
B3,12-Mar,352,5,105,0,4,4
B3,12-Apr,352,4,82,36,3,3
B3,12-May,352,5,103,1,2,2
B3,12-Jun,352,5,81,2,5,4
C3,R-1,352,5,2,1,4,4
C3,R-2,352,5,10,0,4,4
C3,R-3,352,5,18,0,4,4
C3,R-4,352,5,26,0,4,4
C3,R-5,352,5,86,0,5,5
C3,R-6,352,4,36,5,2,2
A4,R-1,352,4,59,1,3,3
A4,R-2,352,5,20,0,5,5
A4,R-3,352,5,101,14,3,3
A4,R-4,352,5,90,26,5,5
A4,R-5,352,5,54,0,3,3
A4,R-6,352,5,42,1,4,5
C3,1-Jan,129,5,142,17,4,4
C3,1-Feb,129,5,155,73,4,4
C3,1-Mar,129,5,100,14,5,5
C3,1-Apr,129,5,142,22,5,5
C3,1-May,129,3,103,0,3,3
C3,1-Jun,129,4,93,3,4,4
A3,10-Jan,136,5,171,24,4,4
A3,10-Feb,136,5,117,1,3,3
A3,10-Mar,136,5,151,53,4,4
A3,10-Apr,136,5,91,5,3,3
A3,10-May,136,5,146,66,3,3
A3,10-Jun,136,5,76,12,2,2
C1,2-Jan,138,5,205,125,5,5
C1,2-Feb,138,5,183,67,4,3
C1,2-Mar,138,4,85,108,4,4
C1,2-Apr,138,5,78,134,5,4
C1,2-May,138,5,128,113,5,4
C1,2-Jun,138,5,169,165,4,4
A4,1-Jan,142,5,74,0,4,4
A4,1-Feb,142,5,22,0,3,3
A4,1-Mar,142,5,11,0,5,5
A4,1-Apr,142,4,7,0,3,3
A4,1-May,142,5,12,0,5,4
A4,1-Jun,142,5,18,0,4,5
C1,3-Jan,153,5,66,7,4,3
C1,3-Feb,153,5,47,10,5,5
C1,3-Mar,153,5,78,14,4,4
C1,3-Apr,153,5,75,1,4,2
C1,3-May,153,5,66,16,3,3
C1,3-Jun,153,4,69,0,3,2
C1,4-Jan,176,5,58,1,3,1
C1,4-Feb,176,5,81,0,1,1
C1,4-Mar,176,5,43,NA,0,0
C1,4-Apr,176,5,57,1,3,2
C1,4-May,176,5,88,1,2,2
C1,4-Jun,176,4,29,0,2,2
A3,1-Jan,181,5,114,0,1,1
A3,1-Feb,181,5,66,NA,2,0
A3,1-Mar,181,5,143,0,3,2
A3,1-Apr,181,5,91,0,2,2
A3,1-May,181,5,61,NA,1,0
A3,1-Jun,181,5,133,0,1,1
C3,7-Jan,195,5,100,0,4,4
C3,7-Feb,195,5,85,1,2,2
C3,7-Mar,195,5,108,7,2,2
C3,7-Apr,195,4,31,0,4,3
C3,7-May,195,5,124,2,5,4
C3,7-Jun,195,4,72,0,2,2
C2,3-Jan,208,5,152,0,4,4
C2,3-Feb,208,5,214,47,5,5
C2,3-Mar,208,5,174,1,5,3
C2,3-Apr,208,4,194,1,3,3
C2,3-May,208,4,165,0,4,4
C2,3-Jun,208,5,0,0,0,0
C2,1-Jan,21,4,175,0,2,1
C2,1-Feb,21,5,148,0,5,4
C2,1-Mar,21,5,143,0,4,3
C2,1-Apr,21,5,130,0,2,2
C2,1-May,21,5,94,0,3,3
C2,1-Jun,21,0,0,0,0,0
C1,5-Jan,217,5,134,4,5,5
C1,5-Feb,217,5,150,28,3,3
C1,5-Mar,217,5,118,2,5,3
C1,5-Apr,217,5,100,27,3,3
C1,5-May,217,5,85,32,2,3
C1,5-Jun,217,5,116,6,5,3
C2,4-Jan,228,5,183,3,5,4
C2,4-Feb,228,5,193,1,4,3
C2,4-Mar,228,5,213,4,4,3
C2,4-Apr,228,5,168,0,4,1
C2,4-May,228,5,179,0,4,3
C2,4-Jun,228,5,186,3,5,5
C1,10-Jan,229,5,34,26,4,4
C1,10-Feb,229,5,0,59,4,4
C1,10-Mar,229,5,84,48,4,4
C1,10-Apr,229,5,76,27,1,1
C1,10-May,229,4,76,10,4,5
C1,10-Jun,229,4,90,8,3,NA
C2,5-Jan,235,4,257,50,4,4
C2,5-Feb,235,5,222,3,4,4
C2,5-Mar,235,5,145,40,4,4
C2,5-Apr,235,5,247,4,5,3
C2,5-May,235,5,63,1,4,4
C2,5-Jun,235,5,195,6,4,4
C2,6-Jan,237,5,190,35,4,4
C2,6-Feb,237,5,194,142,4,3
C2,6-Mar,237,5,136,2,3,3
C2,6-Apr,237,5,249,1,5,5
C2,6-May,237,4,119,0,3,0
C2,6-Jun,237,5,159,0,5,4
C2,7-Jan,239,5,104,12,3,3
C2,7-Feb,239,3,79,9,2,1
C2,7-Mar,239,5,83,0,2,2
C2,7-Apr,239,5,81,0,3,1
C2,7-May,239,5,114,0,1,0
