"block","line","female.fitness.early","female.fitness.late","vial"
"A2","line_352",124,29,"F_352_A2_1"
"A2","line_352",55,35,"F_352_A2_2"
"A2","line_352",25,6,"F_352_A2_3"
"A2","line_352",48,42,"F_352_A2_4"
"A2","line_352",27,0,"F_352_A2_5"
"A2","line_352",96,34,"F_352_A2_6"
"A2","line_360",36,29,"F_360_A2_1"
"A2","line_360",53,39,"F_360_A2_2"
"A2","line_360",69,7,"F_360_A2_3"
"A2","line_360",114,6,"F_360_A2_4"
"A2","line_360",94,40,"F_360_A2_5"
"A2","line_360",82,28,"F_360_A2_6"
"A2","line_361",58,36,"F_361_A2_1"
"A2","line_361",97,30,"F_361_A2_2"
"A2","line_361",76,16,"F_361_A2_3"
"A2","line_361",91,21,"F_361_A2_4"
"A2","line_361",87,19,"F_361_A2_5"
"A2","line_361",46,0,"F_361_A2_6"
"A2","line_370",45,3,"F_370_A2_1"
"A2","line_370",96,12,"F_370_A2_2"
"A2","line_370",34,0,"F_370_A2_3"
"A2","line_370",75,0,"F_370_A2_4"
"A2","line_370",47,0,"F_370_A2_5"
"A2","line_370",68,1,"F_370_A2_6"
"A2","line_380",157,124,"F_380_A2_1"
"A2","line_380",159,76,"F_380_A2_2"
"A2","line_380",150,55,"F_380_A2_3"
"A2","line_380",112,15,"F_380_A2_4"
"A2","line_380",169,62,"F_380_A2_5"
"A2","line_380",153,151,"F_380_A2_6"
"A2","line_385",144,19,"F_385_A2_1"
"A2","line_385",84,0,"F_385_A2_2"
"A2","line_385",187,28,"F_385_A2_3"
"A2","line_385",152,0,"F_385_A2_4"
"A2","line_385",92,19,"F_385_A2_5"
"A2","line_385",165,12,"F_385_A2_6"
"A2","line_391",9,4,"F_391_A2_1"
"A2","line_391",42,5,"F_391_A2_2"
"A2","line_391",37,34,"F_391_A2_3"
"A2","line_391",70,34,"F_391_A2_4"
"A2","line_391",58,28,"F_391_A2_5"
"A2","line_391",151,68,"F_391_A2_6"
"A2","line_491",17,9,"F_491_A2_1"
"A2","line_491",8,45,"F_491_A2_2"
"A2","line_491",22,3,"F_491_A2_3"
"A2","line_491",13,9,"F_491_A2_4"
"A2","line_491",52,8,"F_491_A2_5"
"A2","line_491",113,57,"F_491_A2_6"
"A2","line_535",222,67,"F_535_A2_1"
"A2","line_535",182,4,"F_535_A2_2"
"A2","line_535",207,61,"F_535_A2_3"
"A2","line_535",200,205,"F_535_A2_4"
"A2","line_535",218,120,"F_535_A2_5"
"A2","line_535",120,75,"F_535_A2_6"
"A3","line_136",171,24,"F_136_A3_1"
"A3","line_136",117,1,"F_136_A3_2"
"A3","line_136",151,53,"F_136_A3_3"
"A3","line_136",91,5,"F_136_A3_4"
"A3","line_136",146,66,"F_136_A3_5"
"A3","line_136",76,12,"F_136_A3_6"
"A3","line_181",114,0,"F_181_A3_1"
"A3","line_181",66,0,"F_181_A3_2"
"A3","line_181",143,0,"F_181_A3_3"
"A3","line_181",91,0,"F_181_A3_4"
"A3","line_181",61,0,"F_181_A3_5"
"A3","line_181",133,0,"F_181_A3_6"
"A3","line_321",85,0,"F_321_A3_1"
"A3","line_321",78,0,"F_321_A3_2"
"A3","line_321",17,0,"F_321_A3_3"
"A3","line_321",80,0,"F_321_A3_4"
"A3","line_321",100,0,"F_321_A3_5"
"A3","line_321",94,1,"F_321_A3_6"
"A3","line_338",256,0,"F_338_A3_1"
"A3","line_338",244,0,"F_338_A3_2"
"A3","line_338",243,0,"F_338_A3_3"
"A3","line_338",176,1,"F_338_A3_4"
"A3","line_338",162,0,"F_338_A3_5"
"A3","line_338",221,28,"F_338_A3_6"
"A3","line_350",61,2,"F_350_A3_1"
"A3","line_350",81,0,"F_350_A3_2"
"A3","line_350",28,0,"F_350_A3_3"
"A3","line_350",42,1,"F_350_A3_4"
"A3","line_350",141,0,"F_350_A3_5"
"A3","line_350",89,3,"F_350_A3_6"
"A3","line_352",68,7,"F_352_A3_1"
"A3","line_352",67,16,"F_352_A3_2"
"A3","line_352",93,21,"F_352_A3_3"
"A3","line_352",65,2,"F_352_A3_4"
"A3","line_352",37,0,"F_352_A3_5"
"A3","line_352",52,7,"F_352_A3_6"
"A3","line_367",135,0,"F_367_A3_1"
"A3","line_367",139,0,"F_367_A3_2"
"A3","line_367",152,0,"F_367_A3_3"
"A3","line_367",136,0,"F_367_A3_4"
"A3","line_367",141,0,"F_367_A3_5"
"A3","line_367",190,0,"F_367_A3_6"
"A3","line_437",39,0,"F_437_A3_1"
"A3","line_437",0,0,"F_437_A3_2"
"A3","line_437",81,0,"F_437_A3_3"
"A3","line_437",36,0,"F_437_A3_4"
"A3","line_437",60,0,"F_437_A3_5"
"A3","line_437",14,0,"F_437_A3_6"
"A3","line_443",153,4,"F_443_A3_1"
"A3","line_443",87,59,"F_443_A3_2"
"A3","line_443",121,7,"F_443_A3_3"
"A3","line_443",104,0,"F_443_A3_4"
"A3","line_443",126,0,"F_443_A3_5"
"A3","line_443",77,19,"F_443_A3_6"
"A3","line_502",110,2,"F_502_A3_1"
"A3","line_502",93,9,"F_502_A3_2"
"A3","line_502",127,11,"F_502_A3_3"
"A3","line_502",44,3,"F_502_A3_4"
"A3","line_502",112,0,"F_502_A3_5"
"A3","line_502",41,0,"F_502_A3_6"
"A3","line_707",27,1,"F_707_A3_1"
"A3","line_707",56,4,"F_707_A3_2"
"A3","line_707",61,0,"F_707_A3_3"
"A3","line_707",63,9,"F_707_A3_4"
"A3","line_707",43,5,"F_707_A3_5"
"A3","line_707",57,1,"F_707_A3_6"
"A3","line_91",45,0,"F_91_A3_1"
"A3","line_91",74,0,"F_91_A3_2"
"A3","line_91",50,1,"F_91_A3_3"
"A3","line_91",83,0,"F_91_A3_4"
"A3","line_91",62,0,"F_91_A3_5"
"A3","line_91",61,0,"F_91_A3_6"
"A4","line_142",74,0,"F_142_A4_1"
"A4","line_142",22,0,"F_142_A4_2"
"A4","line_142",11,0,"F_142_A4_3"
"A4","line_142",7,0,"F_142_A4_4"
"A4","line_142",12,0,"F_142_A4_5"
"A4","line_142",18,0,"F_142_A4_6"
"A4","line_332",33,1,"F_332_A4_1"
"A4","line_332",14,0,"F_332_A4_2"
"A4","line_332",25,0,"F_332_A4_3"
"A4","line_332",29,0,"F_332_A4_4"
"A4","line_332",35,0,"F_332_A4_5"
