"block","line","early.male.rival","early.male.focal","num.GFP.males","num.DGRP.males","late.male.rival","late.male.focal","num.laying.F.early","female.fitness.early","num.F.late1","num.F.late2","female.fitness.late","male.fitness.early","male.fitness.late","male.fitness.total","female.fitness.total"
"B1","352",12,146,9,NA,1,37,5,4,3,3,40,0.924050632911392,0.973684210526316,0.948867421718854,22
"B1","352",16,34,9,NA,20,46,5,78,4,4,36,0.68,0.696969696969697,0.688484848484848,57
"B1","352",3,18,14,NA,47,116,5,59,3,3,9,0.857142857142857,0.711656441717791,0.784399649430324,34
"B1","352",6,43,9,NA,83,5,5,41,4,4,6,0.877551020408163,0.0568181818181818,0.467184601113173,23.5
"B1","352",9,59,11,NA,64,8,5,19,3,3,18,0.867647058823529,0.111111111111111,0.48937908496732,18.5
"B1","352",2,57,10,NA,94,20,5,0,4,3,28,0.966101694915254,0.175438596491228,0.570770145703241,14
"C1","352",29,150,8,4,41,14,5,0,5,5,71,0.837988826815642,0.254545454545455,0.546267140680548,35.5
"C1","352",79,41,9,3,90,2,5,0,1,1,0,0.341666666666667,0.0217391304347826,0.181702898550725,0
"C1","352",39,118,9,4,19,28,5,0,4,4,41,0.751592356687898,0.595744680851064,0.673668518769481,20.5
"C1","352",8,191,8,4,36,46,5,64,5,5,39,0.959798994974874,0.560975609756098,0.760387302365486,51.5
"C1","352",19,188,9,3,22,53,5,20,4,3,67,0.908212560386473,0.706666666666667,0.80743961352657,43.5
"C1","352",34,99,10,3,15,44,5,108,4,4,40,0.744360902255639,0.745762711864407,0.745061807060023,74
"A2","352",62,116,5,2,3,25,5,124,3,3,29,0.651685393258427,0.892857142857143,0.772271268057785,76.5
"A2","352",8,123,6,5,4,124,5,55,5,5,35,0.938931297709924,0.96875,0.953840648854962,45
"A2","352",31,171,4,4,51,47,5,25,5,3,6,0.846534653465347,0.479591836734694,0.66306324510002,15.5
"A2","352",45,42,5,1,82,80,5,48,4,5,42,0.482758620689655,0.493827160493827,0.488292890591741,45
"A2","352",43,146,0,3,3,135,5,27,2,1,0,0.772486772486772,0.978260869565217,0.875373821025995,13.5
"A2","352",44,64,2,2,5,34,5,96,5,4,34,0.592592592592593,0.871794871794872,0.732193732193732,65
"B2","352",65,94,8,4,112,97,4,152,3,3,32,0.591194968553459,0.464114832535885,0.527654900544672,92
"B2","352",41,117,7,3,139,61,5,44,0,NA,4,0.740506329113924,0.305,0.522753164556962,24
"B2","352",89,77,6,3,81,59,5,18,3,2,15,0.463855421686747,0.421428571428571,0.442641996557659,16.5
"B2","352",85,105,6,1,134,61,5,26,4,3,11,0.552631578947368,0.312820512820513,0.432726045883941,18.5
"B2","352",70,103,5,1,102,55,5,107,5,5,39,0.595375722543353,0.35031847133758,0.472847096940466,73
"B2","352",109,93,6,2,77,50,5,93,5,5,8,0.46039603960396,0.393700787401575,0.427048413502768,50.5
"C2","352",64,71,5,2,40,1,4,78,2,2,0,0.525925925925926,0.024390243902439,0.275158084914182,39
"C2","352",61,35,7,1,71,0,5,125,6,4,0,0.364583333333333,0,0.182291666666667,62.5
"C2","352",79,40,4,1,4,1,5,119,4,4,0,0.336134453781513,0.2,0.268067226890756,59.5
"C2","352",82,50,4,0,100,0,5,104,4,3,0,0.378787878787879,0,0.189393939393939,52
