FBID,female_narrow_heritability,male_narrow_heritability
FBgn0000014,0.137,0.172
FBgn0000015,0.030,0.192
FBgn0000017,0.085,0.000
FBgn0000018,0.184,0.031
FBgn0000022,0.060,0.133
FBgn0000024,0.352,0.442
FBgn0000028,0.149,0.000
FBgn0000032,0.328,0.042
FBgn0000036,0.042,0.097
FBgn0000037,0.062,0.023
FBgn0000038,0.121,0.000
FBgn0000039,0.000,0.022
FBgn0000042,0.059,0.216
FBgn0000043,0.201,0.184
FBgn0000044,0.305,0.250
FBgn0000045,0.518,0.368
FBgn0000046,0.464,0.280
FBgn0000047,0.492,0.386
FBgn0000052,0.221,0.282
FBgn0000053,0.231,0.327
FBgn0000054,0.145,0.042
FBgn0000056,0.118,0.180
FBgn0000057,0.132,0.331
FBgn0000061,0.090,0.122
FBgn0000063,0.251,0.649
FBgn0000064,0.200,0.207
FBgn0000071,0.028,0.000
FBgn0000075,0.000,0.047
FBgn0000077,0.000,0.091
FBgn0000078,0.486,0.612
FBgn0000079,0.580,0.640
FBgn0000083,0.264,0.200
FBgn0000084,0.075,0.160
FBgn0000092,0.000,0.000
FBgn0000094,0.034,0.653
FBgn0000097,0.101,0.165
FBgn0000099,0.145,0.208
FBgn0000100,0.003,0.109
FBgn0000108,0.278,0.000
FBgn0000109,0.177,0.064
FBgn0000114,0.191,0.241
FBgn0000115,0.145,0.078
FBgn0000116,0.487,0.287
FBgn0000117,0.001,0.126
FBgn0000119,0.197,0.104
FBgn0000120,0.194,0.035
FBgn0000121,0.270,0.035
FBgn0000137,0.112,0.000
FBgn0000139,0.113,0.134
FBgn0000140,0.183,0.190
FBgn0000146,0.457,0.041
FBgn0000147,0.144,0.203
FBgn0000150,0.000,0.140
FBgn0000152,0.066,0.069
FBgn0000153,0.190,0.339
FBgn0000157,0.028,0.036
FBgn0000158,0.461,0.039
FBgn0000163,0.078,0.245
FBgn0000166,0.078,0.049
FBgn0000173,0.064,0.000
FBgn0000179,0.000,0.000
FBgn0000180,0.143,0.039
FBgn0000181,0.269,0.223
FBgn0000182,0.144,0.066
FBgn0000183,0.079,0.107
FBgn0000206,0.151,0.000
FBgn0000210,0.128,0.000
FBgn0000212,0.018,0.216
FBgn0000216,0.037,0.115
FBgn0000221,0.070,0.039
FBgn0000227,0.002,0.035
FBgn0000228,0.182,0.167
FBgn0000229,0.000,0.049
FBgn0000233,0.000,0.063
FBgn0000239,0.019,0.049
FBgn0000241,0.000,0.291
FBgn0000242,0.204,0.000
FBgn0000244,0.269,0.299
FBgn0000246,0.703,0.208
FBgn0000247,0.066,0.127
FBgn0000250,0.058,0.215
FBgn0000253,0.070,0.063
FBgn0000256,0.060,0.249
FBgn0000257,0.192,0.164
FBgn0000259,0.133,0.097
FBgn0000261,0.352,0.370
FBgn0000273,0.156,0.056
FBgn0000274,0.083,0.000
FBgn0000278,0.043,0.101
FBgn0000279,0.004,0.165
FBgn0000281,0.000,0.000
FBgn0000283,0.042,0.135
FBgn0000286,0.000,0.437
FBgn0000287,0.000,0.399
FBgn0000289,0.090,0.072
FBgn0000299,0.295,0.291
FBgn0000303,0.007,0.000
FBgn0000307,0.055,0.007
FBgn0000308,0.071,0.205
FBgn0000313,0.178,0.000
FBgn0000316,0.168,0.003
FBgn0000317,0.068,0.126
FBgn0000318,0.313,0.292
FBgn0000319,0.025,0.130
FBgn0000320,0.278,0.000
FBgn0000326,0.047,0.062
FBgn0000330,0.000,0.000
FBgn0000337,0.120,0.415
FBgn0000339,0.081,0.075
FBgn0000346,0.438,0.000
FBgn0000351,0.152,0.023
