"block","line","early.male.rival","early.male.focal","late.male.rival","late.male.focal","num.GFP.males","vial"
"A2","line_352",62,116,3,25,5,"M_352_A2_1"
"A2","line_352",8,123,4,124,6,"M_352_A2_2"
"A2","line_352",31,171,51,47,4,"M_352_A2_3"
"A2","line_352",45,42,82,80,5,"M_352_A2_4"
"A2","line_352",43,146,3,135,0,"M_352_A2_5"
"A2","line_352",44,64,5,34,2,"M_352_A2_6"
"A2","line_360",105,76,96,97,10,"M_360_A2_1"
"A2","line_360",146,9,89,80,7,"M_360_A2_2"
"A2","line_360",51,46,50,0,7,"M_360_A2_3"
"A2","line_360",77,64,50,0,7,"M_360_A2_4"
"A2","line_360",82,71,101,78,7,"M_360_A2_5"
"A2","line_360",56,68,152,85,7,"M_360_A2_6"
"A2","line_361",81,75,44,105,8,"M_361_A2_1"
"A2","line_361",159,38,48,109,8,"M_361_A2_2"
"A2","line_361",28,52,28,110,2,"M_361_A2_3"
"A2","line_361",46,27,50,0,7,"M_361_A2_4"
"A2","line_361",23,115,52,98,9,"M_361_A2_5"
"A2","line_361",24,26,66,128,8,"M_361_A2_6"
"A2","line_370",24,157,71,140,5,"M_370_A2_1"
"A2","line_370",59,120,50,0,7,"M_370_A2_2"
"A2","line_370",0,4,66,39,6,"M_370_A2_3"
"A2","line_370",30,74,20,71,3,"M_370_A2_4"
"A2","line_370",84,99,94,118,7,"M_370_A2_5"
"A2","line_370",77,129,50,0,6,"M_370_A2_6"
"A2","line_380",64,42,58,128,9,"M_380_A2_1"
"A2","line_380",65,73,86,51,7,"M_380_A2_2"
"A2","line_380",22,120,45,145,9,"M_380_A2_3"
"A2","line_380",54,100,26,100,8,"M_380_A2_4"
"A2","line_380",16,120,47,121,5,"M_380_A2_5"
"A2","line_380",62,54,113,167,9,"M_380_A2_6"
"A2","line_385",106,73,50,0,5,"M_385_A2_1"
"A2","line_385",79,79,140,44,4,"M_385_A2_2"
"A2","line_385",88,74,122,37,6,"M_385_A2_3"
"A2","line_385",77,73,51,76,6,"M_385_A2_4"
"A2","line_385",99,58,50,0,1,"M_385_A2_5"
"A2","line_385",88,33,71,97,6,"M_385_A2_6"
"A2","line_391",139,41,99,51,8,"M_391_A2_1"
"A2","line_391",67,42,50,0,7,"M_391_A2_2"
"A2","line_391",126,75,125,57,9,"M_391_A2_3"
"A2","line_391",81,83,96,46,4,"M_391_A2_4"
"A2","line_391",16,37,48,105,6,"M_391_A2_5"
"A2","line_391",104,97,11,55,6,"M_391_A2_6"
"A2","line_491",61,108,25,99,2,"M_491_A2_1"
"A2","line_491",24,57,76,108,1,"M_491_A2_2"
"A2","line_491",83,103,4,188,4,"M_491_A2_3"
"A2","line_491",0,0,4,153,3,"M_491_A2_4"
"A2","line_491",73,117,28,151,6,"M_491_A2_5"
"A2","line_491",77,83,24,182,8,"M_491_A2_6"
"A2","line_535",12,120,5,63,4,"M_535_A2_1"
"A2","line_535",10,114,0,31,2,"M_535_A2_2"
"A2","line_535",33,68,7,168,7,"M_535_A2_3"
"A2","line_535",NA,NA,84,139,2,"M_535_A2_4"
"A2","line_535",33,55,63,75,2,"M_535_A2_5"
"A2","line_535",65,32,32,23,4,"M_535_A2_6"
"A3","line_136",28,52,44,18,9,"M_136_A3_1"
"A3","line_136",50,44,33,55,3,"M_136_A3_2"
"A3","line_136",55,36,7,48,4,"M_136_A3_3"
"A3","line_136",38,52,43,27,5,"M_136_A3_4"
"A3","line_136",80,47,19,39,3,"M_136_A3_5"
"A3","line_136",46,30,100,30,4,"M_136_A3_6"
"A3","line_181",94,143,38,9,6,"M_181_A3_1"
"A3","line_181",55,26,0,0,2,"M_181_A3_2"
"A3","line_181",41,18,33,5,3,"M_181_A3_3"
"A3","line_181",51,29,50,0,8,"M_181_A3_4"
"A3","line_181",78,49,50,0,6,"M_181_A3_5"
"A3","line_181",58,27,1,0,7,"M_181_A3_6"
"A3","line_321",48,38,0,0,2,"M_321_A3_1"
"A3","line_321",32,42,24,0,4,"M_321_A3_2"
"A3","line_321",49,37,35,20,4,"M_321_A3_3"
"A3","line_321",33,43,80,10,6,"M_321_A3_4"
"A3","line_321",44,25,53,26,8,"M_321_A3_5"
"A3","line_321",131,23,101,5,5,"M_321_A3_6"
"A3","line_338",24,50,7,10,9,"M_338_A3_1"
"A3","line_338",22,17,77,25,9,"M_338_A3_2"
"A3","line_338",39,27,4,23,9,"M_338_A3_3"
"A3","line_338",25,33,43,7,8,"M_338_A3_4"
"A3","line_338",48,50,0,28,6,"M_338_A3_5"
"A3","line_338",35,47,38,3,5,"M_338_A3_6"
"A3","line_350",58,53,12,1,5,"M_350_A3_1"
"A3","line_350",32,56,44,0,3,"M_350_A3_2"
"A3","line_350",44,43,3,10,2,"M_350_A3_3"
"A3","line_350",32,54,47,23,8,"M_350_A3_4"
"A3","line_350",59,13,17,13,2,"M_350_A3_5"
"A3","line_350",54,40,28,36,4,"M_350_A3_6"
"A3","line_352",57,33,23,0,5,"M_352_A3_1"
"A3","line_352",53,50,36,36,5,"M_352_A3_2"
"A3","line_352",76,14,50,0,5,"M_352_A3_3"
"A3","line_352",43,28,40,0,7,"M_352_A3_4"
"A3","line_352",41,50,52,39,6,"M_352_A3_5"
"A3","line_352",50,53,3,2,0,"M_352_A3_6"
"A3","line_367",71,4,41,0,7,"M_367_A3_1"
"A3","line_367",81,20,20,0,4,"M_367_A3_2"
"A3","line_367",95,14,41,0,3,"M_367_A3_3"
"A3","line_367",38,17,47,6,6,"M_367_A3_4"
"A3","line_367",79,16,34,0,7,"M_367_A3_5"
"A3","line_367",32,9,22,13,7,"M_367_A3_6"
"A3","line_437",85,17,50,0,5,"M_437_A3_1"
"A3","line_437",22,45,36,6,6,"M_437_A3_2"
"A3","line_437",52,73,29,18,5,"M_437_A3_3"
"A3","line_437",66,59,41,27,3,"M_437_A3_4"
"A3","line_437",38,48,0,46,3,"M_437_A3_5"
"A3","line_437",84,12,46,0,4,"M_437_A3_6"
"A3","line_443",49,63,0,6,1,"M_443_A3_1"
"A3","line_443",69,60,78,6,6,"M_443_A3_2"
"A3","line_443",53,56,3,15,3,"M_443_A3_3"
"A3","line_443",61,38,50,0,6,"M_443_A3_4"
"A3","line_443",60,37,65,3,5,"M_443_A3_5"
"A3","line_443",34,37,6,15,3,"M_443_A3_6"
"A3","line_502",20,73,12,5,4,"M_502_A3_1"
"A3","line_502",58,53,23,48,5,"M_502_A3_2"
"A3","line_502",60,49,37,30,3,"M_502_A3_3"
"A3","line_502",48,57,0,0,4,"M_502_A3_4"
"A3","line_502",102,40,4,9,3,"M_502_A3_5"
"A3","line_502",86,61,12,47,2,"M_502_A3_6"
"A3","line_707",25,42,12,76,7,"M_707_A3_1"
"A3","line_707",39,95,18,7,4,"M_707_A3_2"
"A3","line_707",51,49,11,0,5,"M_707_A3_3"
"A3","line_707",55,25,58,12,6,"M_707_A3_4"
"A3","line_707",39,29,67,0,5,"M_707_A3_5"
"A3","line_707",48,41,34,3,5,"M_707_A3_6"
"A3","line_91",77,14,50,0,6,"M_91_A3_1"
"A3","line_91",45,43,50,0,4,"M_91_A3_2"
"A3","line_91",54,38,50,0,5,"M_91_A3_3"
"A3","line_91",80,39,24,39,6,"M_91_A3_4"
"A3","line_91",44,28,29,3,3,"M_91_A3_5"
"A3","line_91",18,58,37,35,7,"M_91_A3_6"
"A4","line_142",16,115,2,9,2,"M_142_A4_1"
"A4","line_142",46,36,10,0,6,"M_142_A4_2"
"A4","line_142",54,29,14,5,5,"M_142_A4_3"
"A4","line_142",33,27,37,2,13,"M_142_A4_4"
"A4","line_142",16,25,0,0,1,"M_142_A4_5"
"A4","line_142",21,25,28,2,7,"M_142_A4_6"
