line,wolbachia
21,y
26,n
28,n
31,n
32,n
38,n
40,y
41,n
42,n
45,n
48,y
49,y
57,n
59,n
69,y
73,y
75,y
83,n
85,n
88,n
91,n
93,n
100,y
101,n
105,n
109,n
129,n
136,y
138,n
142,y
149,y
153,y
158,n
161,n
176,y
177,n
181,y
189,y
195,n
208,n
217,n
223,y
227,y
228,n
229,n
233,n
235,n
237,y
239,n
256,y
280,y
287,y
301,n
303,n
304,y
306,y
307,n
309,n
310,y
313,n
315,n
317,y
318,y
319,y
320,y
321,y
324,n
325,n
332,n
335,y
336,y
338,y
340,y
348,n
350,n
352,y
354,n
355,y
356,y
357,n
358,n
359,n
360,y
361,y
362,y
365,y
367,n
370,y
371,n
373,n
374,y
375,n
377,n
379,n
380,y
381,n
382,y
383,y
385,n
386,n
390,n
391,n
392,n
395,n
397,y
399,n
405,y
406,n
409,y
426,n
427,n
437,n
439,n
440,y
441,y
443,n
461,y
486,y
491,n
492,n
502,n
505,y
508,n
509,n
513,y
517,n
528,y
530,y
531,y
535,y
551,y
555,y
559,n
563,n
566,n
584,y
589,y
595,y
596,n
627,n
630,n
634,y
639,y
642,n
646,y
703,n
705,y
707,y
712,y
714,n
716,y
721,y
727,y
730,y
732,n
737,y
738,y
748,y
757,n
761,y
765,n
774,n
776,y
783,y
786,y
787,y
790,y
796,y
799,n
801,y
802,y
804,y
805,y
808,n
810,n
812,n
818,y
819,y
820,y
821,y
822,y
832,y
837,y
843,n
849,n
850,y
852,y
853,y
855,y
857,n
859,y
861,y
879,y
882,y
884,y
887,y
890,y
892,y
894,n
897,y
900,n
907,n
908,n
911,n
913,y
