FBID,gene_name,gene_type,position,sex_fixed_effect_pvalue,sex_fdr,sex_by_line_pvalue,sex_by_line_fdr,sex_by_line_variance_component,between_line_variance_component,between_line_pvalue,between_line_fdr,within_line_variance_component
FBgn0000014,abd-A,protein_coding,3R:12632936..12655771,2.01E-58,4.17E-58,4.58E-03,3.82E-02,0.1001,0.0000,5.08E-02,9.75E-02,0.5287
FBgn0000015,Abd-B,protein_coding,3R:12752932..12797958,1.52E-245,1.25E-244,2.04E-02,1.14E-01,0.0091,0.0000,2.22E-01,3.06E-01,0.0747
FBgn0000017,Abl,protein_coding,3L:16615470..16640982,1.92E-230,1.36E-229,5.27E-01,7.47E-01,0.0000,0.0037,1.35E-01,2.09E-01,0.1041
FBgn0000018,abo,protein_coding,2L:10973443..10975273,7.18E-188,3.49E-187,3.44E-03,3.10E-02,0.0203,0.0000,4.52E-01,5.27E-01,0.1441
FBgn0000022,ac,protein_coding,X:264064..264980,4.41E-17,6.52E-17,2.01E-01,4.63E-01,0.0437,0.0479,1.35E-02,3.32E-02,0.8088
FBgn0000024,Ace,protein_coding,3R:9048673..9085239,1.87E-202,1.03E-201,1.75E-01,4.29E-01,0.0047,0.0474,1.38E-27,4.71E-26,0.0804
FBgn0000028,acj6,protein_coding,X:15245315..15272487,6.61E-95,1.71E-94,2.81E-01,5.52E-01,0.0045,0.0000,6.25E-01,6.78E-01,0.4704
FBgn0000032,Acph-1,protein_coding,3R:25816866..25819133,1.47E-207,8.51E-207,8.56E-03,6.08E-02,0.0175,0.0069,6.48E-04,2.42E-03,0.0999
FBgn0000036,nAcRalpha-96Aa,protein_coding,3R:20219740..20282879,1.68E-268,1.78E-267,2.50E-01,5.22E-01,0.0054,0.0000,4.57E-02,8.97E-02,0.0601
FBgn0000037,mAcR-60C,protein_coding,2R:20266159..20278050,2.76E-231,1.98E-230,8.14E-01,9.11E-01,0.0000,0.0092,3.11E-03,9.51E-03,0.0970
FBgn0000038,nAcRbeta-64B,protein_coding,3L:4428447..4436003,3.99E-119,1.19E-118,5.28E-02,2.10E-01,0.0247,0.0000,4.84E-01,5.55E-01,0.3368
FBgn0000039,nAcRalpha-96Ab,protein_coding,3R:20311150..20316869,1.31E-117,3.90E-117,8.89E-01,9.49E-01,0.0000,0.0095,2.14E-01,2.98E-01,0.3804
FBgn0000042,Act5C,protein_coding,X:5794894..5799261,3.80E-94,9.77E-94,1.85E-01,4.42E-01,0.0212,0.0584,3.90E-06,2.26E-05,0.3708
FBgn0000043,Act42A,protein_coding,2R:1901415..1903194,2.81E-15,4.08E-15,3.18E-01,5.87E-01,0.0238,0.1695,2.66E-09,2.32E-08,0.7306
FBgn0000044,Act57B,protein_coding,2R:16831533..16833945,9.95E-33,1.72E-32,4.03E-01,6.56E-01,0.0000,0.2239,4.09E-16,6.57E-15,0.6018
FBgn0000045,Act79B,protein_coding,3L:21978310..21980290,6.20E-104,1.69E-103,2.93E-02,1.45E-01,0.0292,0.1535,3.72E-32,1.64E-30,0.2232
FBgn0000046,Act87E,protein_coding,3R:9251707..9253811,3.03E-97,7.94E-97,8.28E-03,5.92E-02,0.0440,0.1200,2.87E-21,6.76E-20,0.2584
